GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr,study_items,cluster_id,cluster_type
GO:0072665,BP,e,protein localization to vacuole,"(6, 20)","(120, 5672)",2.406839798685344e-06,6,6,0.0,"['YML071C', 'YFL038C', 'YNL051W', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0051641,BP,e,cellular localization,"(12, 20)","(839, 5672)",4.0688494395467456e-06,2,12,0.002,"['YJL004C', 'YLR459W', 'YML071C', 'YFL038C', 'YPL051W', 'YNL051W', 'YDR331W', 'YDL145C', 'YMR197C', 'YGL054C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0061951,BP,e,establishment of protein localization to plasma membrane,"(3, 20)","(10, 5672)",4.43010062695302e-06,7,3,0.002,"['YPL051W', 'YJL004C', 'YBR164C']",0.0,effector
GO:0043001,BP,e,Golgi to plasma membrane protein transport,"(3, 20)","(10, 5672)",4.43010062695302e-06,8,3,0.002,"['YPL051W', 'YJL004C', 'YBR164C']",0.0,effector
GO:0006644,BP,e,phospholipid metabolic process,"(6, 20)","(134, 5672)",4.5895340765749365e-06,5,6,0.002,"['YHR188C', 'YDR434W', 'YLR459W', 'YJL062W', 'YDR331W', 'YGL142C']",0.0,effector
GO:0008104,BP,e,protein localization,"(11, 20)","(705, 5672)",5.887253244709059e-06,3,11,0.002,"['YJL004C', 'YLR459W', 'YML071C', 'YFL038C', 'YPL051W', 'YNL051W', 'YDR331W', 'YDL145C', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0098876,BP,e,vesicle-mediated transport to the plasma membrane,"(4, 20)","(38, 5672)",7.686913184912557e-06,5,4,0.002,"['YFL038C', 'YPL051W', 'YJL004C', 'YBR164C']",0.0,effector
GO:0046907,BP,e,intracellular transport,"(10, 20)","(600, 5672)",1.1239838682917067e-05,4,10,0.008,"['YJL004C', 'YML071C', 'YFL038C', 'YPL051W', 'YNL051W', 'YDL145C', 'YMR197C', 'YGL054C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0007034,BP,e,vacuolar transport,"(6, 20)","(159, 5672)",1.2359240219698105e-05,4,6,0.012,"['YML071C', 'YFL038C', 'YNL051W', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0051649,BP,e,establishment of localization in cell,"(10, 20)","(631, 5672)",1.7677572250754826e-05,3,10,0.016,"['YJL004C', 'YML071C', 'YFL038C', 'YPL051W', 'YNL051W', 'YDL145C', 'YMR197C', 'YGL054C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0034067,BP,e,protein localization to Golgi apparatus,"(3, 20)","(17, 5672)",2.4711375097071196e-05,6,3,0.016,"['YPL051W', 'YJL004C', 'YBR164C']",0.0,effector
GO:0061919,BP,e,process utilizing autophagic mechanism,"(6, 20)","(180, 5672)",2.5144825950544045e-05,2,6,0.016,"['YML071C', 'YFL038C', 'YNL051W', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0006886,BP,e,intracellular protein transport,"(8, 20)","(385, 5672)",2.5571812423223564e-05,6,8,0.016,"['YML071C', 'YFL038C', 'YPL051W', 'YNL051W', 'YDL145C', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0033036,BP,e,macromolecule localization,"(11, 20)","(825, 5672)",2.7544835487023667e-05,2,11,0.016,"['YJL004C', 'YLR459W', 'YML071C', 'YFL038C', 'YPL051W', 'YNL051W', 'YDR331W', 'YDL145C', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0033365,BP,e,protein localization to organelle,"(8, 20)","(392, 5672)",2.9167613265329344e-05,5,8,0.016,"['YJL004C', 'YML071C', 'YFL038C', 'YPL051W', 'YNL051W', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0072659,BP,e,protein localization to plasma membrane,"(3, 20)","(18, 5672)",2.95869663449098e-05,6,3,0.016,"['YPL051W', 'YJL004C', 'YBR164C']",0.0,effector
GO:0008610,BP,e,lipid biosynthetic process,"(6, 20)","(187, 5672)",3.123742905002322e-05,4,6,0.016,"['YHR188C', 'YDR434W', 'YLR459W', 'YJL062W', 'YDR331W', 'YGL142C']",0.0,effector
GO:0015031,BP,e,protein transport,"(9, 20)","(553, 5672)",4.6813374173327346e-05,5,9,0.028,"['YJL004C', 'YML071C', 'YFL038C', 'YPL051W', 'YNL051W', 'YDL145C', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0045184,BP,e,establishment of protein localization,"(9, 20)","(567, 5672)",5.718331860235247e-05,4,9,0.032,"['YJL004C', 'YML071C', 'YFL038C', 'YPL051W', 'YNL051W', 'YDL145C', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0034394,BP,e,protein localization to cell surface,"(2, 20)","(4, 5672)",7.058279768432567e-05,5,2,0.036,"['YLR459W', 'YDR331W']",0.0,effector
GO:1990778,BP,e,protein localization to cell periphery,"(3, 20)","(25, 5672)",8.209077976990654e-05,5,3,0.05,"['YPL051W', 'YJL004C', 'YBR164C']",0.0,effector
GO:0006605,BP,e,protein targeting,"(6, 20)","(225, 5672)",8.850314094951847e-05,7,6,0.052,"['YML071C', 'YFL038C', 'YNL051W', 'YMR197C', 'YNL041C', 'YBR164C']",0.0,effector
GO:0006892,BP,e,post-Golgi vesicle-mediated transport,"(4, 20)","(70, 5672)",8.880306285953279e-05,6,4,0.052,"['YPL051W', 'YJL004C', 'YBR164C', 'YMR197C']",0.0,effector
GO:0090407,BP,e,organophosphate biosynthetic process,"(6, 20)","(229, 5672)",9.763794600004089e-05,5,6,0.056,"['YHR188C', 'YDR434W', 'YLR459W', 'YJL062W', 'YDR331W', 'YGL142C']",0.0,effector
GO:0034976,BP,e,response to endoplasmic reticulum stress,"(4, 20)","(76, 5672)",0.0001225787101451789,4,4,0.084,"['YFL038C', 'YPL051W', 'YBR164C', 'YOR336W']",0.0,effector
GO:0006893,BP,e,Golgi to plasma membrane transport,"(3, 20)","(31, 5672)",0.00015828167870345734,7,3,0.088,"['YPL051W', 'YJL004C', 'YBR164C']",0.0,effector
GO:0070085,BP,e,glycosylation,"(4, 20)","(82, 5672)",0.00016484979164652037,2,4,0.09,"['YGL142C', 'YEL002C', 'YOR336W', 'YOR085W']",0.0,effector
